원유철,9770592,42
김학용,9770670,56
이상돈,9771072,61
김성태,9770974,48
심재철,9770138,61
윤한홍,9771032,38
정태옥,9770958,50
신창현,9770989,51
노웅래,9770753,66
이현재,9770838,57
윤후덕,9770813,61
신보라,9771045,70
김현미,9770746,50
홍일표,9770665,68
정양석,9770928,62
조훈현,9771052,72
이종배,9770914,72
조경태,9770450,70
정운천,9771012,50
신경민,9770792,69
이진복,9770621,60
이학영,9770836,61
김종인,9771057,26
김경협,9770712,55
김관영,9770713,56
안호영,9771017,65
이용호,9771015,58
정진석,9771006,68
설훈,9770786,43
이용주,9771018,47
윤종필,9771051,60
안철수,9770896,68
강훈식,9771007,68
강석진,9771036,50
배덕광,9770904,56
정유섭,9770965,62
송희경,9771039,69
최연혜,9771043,69
최명길,9770948,58
황희,9770936,69
진선미,9770852,62
안규백,9770587,58
이혜훈,9770943,20
김재경,9770310,51
문진국,9771042,72
이정미,9771082,58
김종석,9771048,64
원혜영,9770386,60
송영길,9770967,63
박완주,9770774,66
이찬열,9770678,52
백혜련,9770980,68
김경수,9771033,70
정우택,9770847,49
김광림,9770523,70
서청원,9770898,5
이은권,9770972,65
윤종오,9770979,52
주광덕,9770992,52
주승용,9770458,70
정세균,9770230,44
김중로,9771078,70
문미옥,9771062,62
박주민,9770932,66
나경원,9770903,39
이주영,9770499,50
김순례,9771053,70
홍철호,9770913,63
이장우,9770829,52
박범계,9770770,56
조승래,9770973,69
백재현,9770573,71
유승민,9770497,47
김진표,9770982,62
박찬우,9771005,60
정종섭,9770957,44
이종명,9771040,71
권성동,9770679,59
신동근,9770968,66
황영철,9770669,50
채이배,9771074,63
김광수,9771011,41
홍문종,9770862,26
이헌승,9770837,65
김정재,9771023,69
김명연,9770721,61
최도자,9771081,67
이우현,9770825,41
김병관,9770983,55
강길부,9770276,57
윤상현,9770598,35
기동민,9770927,71
오영훈,9771037,67
표창원,9770994,74
윤영석,9770811,45
이학재,9770625,55
인재근,9770839,72
박병석,9770090,59
김현아,9771055,56
권석창,9771004,39
민경욱,9770964,71
김기선,9770716,66
안상수,9770919,62
윤영일,9771021,67
김성찬,9770727,52
강효상,9771054,44
김승희,9771049,71
송기석,9770969,68
엄용수,9771034,61
도종환,9770755,55
송기헌,9771001,60
장석춘,9771026,49
조배숙,9771014,55
유의동,9770912,71
김민기,9770723,68
최경환(새),9771029,27
박재호,9770950,57
한정애,9770859,48
경대수,9770708,63
황주홍,9770867,45
이완영,9770824,59
권칠승,9770998,66
손금주,9771019,52
장제원,9770954,45
박정,9770995,70
김태흠,9770742,46
신상진,9770921,68
김수민,9771075,58
추경호,9770962,50
김선동,9770930,43
전재수,9770951,49
박광온,9770911,69
김부겸,9770960,54
김철민,9770986,65
이채익,9770835,61
김영춘,9770949,62
양승조,9770375,70
박용진,9770929,71
우상호,9770871,65
이태규,9771076,62
이개호,9770905,55
최경환(국),9770976,61
신용현,9771069,73
김종훈,9770978,42
김석기,9771024,48
정병국,9770229,56
전해철,9770846,69
여상규,9770591,33
박주선,9770566,47
정춘숙,9771068,63
오신환,9770918,70
김영진,9770981,68
유은혜,9770807,62
김두관,9770997,66
서영교,9770784,38
오제세,9770380,45
최인호,9770952,69
정인화,9771020,67
장정숙,9771079,67
손혜원,9770935,52
이훈,9770939,64
윤호중,9770876,67
김세연,9770534,51
이종걸,9770194,27
박순자,9770987,61
이명수,9770602,68
송석준,9770996,71
김현권,9771061,60
박인숙,9770776,57
김상희,9770527,69
윤관석,9770808,56
박남춘,9770765,72
어기구,9771010,61
김태년,9770741,49
주호영,9770883,53
홍영표,9770676,65
박찬대,9770963,67
권은희,9770977,57
이만희,9771028,64
김해영,9770953,72
위성곤,9771038,68
박홍근,9770779,61
이언주,9770822,56
최운열,9771059,61
제윤경,9771064,62
유재중,9770596,68
박경미,9771056,71
함진규,9770860,65
소병훈,9770999,67
최교일,9771027,64
지상욱,9770925,58
강석호,9770512,59
윤재옥,9770812,72
이재정,9771060,59
윤소하,9771085,49
한선교,9770477,44
백승주,9771025,49
안민석,9770372,39
하태경,9770858,52
박지원,9770568,49
박준영,9771022,67
박주현,9771071,64
이정현,9770916,67
김동철,9770295,49
김종대,9771083,60
김용태,9770542,13
천정배,9770920,58
이원욱,9770826,67
김규환,9771044,68
김병기,9770941,64
김영주,9770975,41
김병욱,9770984,71
정용기,9770907,68
박명재,9770899,58
김한정,9770991,58
전혜숙,9770926,58
박성중,9770944,66
오세정,9771070,67
홍의락,9770959,56
金成泰,9771046,68
김종회,9771016,69
이양수,9771003,64
조정식,9770456,66
유승희,9770874,66
남인순,9770752,62
김진태,9770740,42
유성엽,9770594,63
이상민,9770414,36
이철희,9771063,69
홍문표,9770886,55
유기준,9770387,60
심재권,9770798,70
김종태,9770738,55
성일종,9771008,43
임종성,9771000,61
유민봉,9771050,72
정성호,9770881,62
강창일,9770279,46
정재호,9770988,57
김무성,9770895,25
조원진,9770648,53
김한표,9770744,66
김영우,9770538,58
윤상직,9770955,40
이석현,9770416,50
고용진,9770931,67
김정우,9770993,71
이용득,9771067,43
추미애,9770659,46
박완수,9771030,69
강병원,9770933,72
김성원,9770985,71
박맹우,9770908,44
정갑윤,9770439,58
이은재,9770947,70
이군현,9770406,33
문희상,9770084,71
서형수,9771035,62
김도읍,9770719,70
곽대훈,9770961,70
금태섭,9770937,50
박영선,9770347,42
김경진,9770970,45
이종구,9770945,69
심상정,9770869,47
민홍철,9770764,59
조응천,9770990,59
김종민,9771009,40
곽상도,9770956,70
진영,9770462,45
유동수,9770966,70
김영호,9770934,66
이철규,9771002,66
전희경,9771047,72
김성식,9770942,72
김상훈,9770725,61
이동섭,9771080,71
이철우,9770685,68
염동열,9770802,71
박대출,9770767,61
김삼화,9771077,71
김정훈,9770316,24
박덕흠,9770768,53
노회찬,9771031,55
정동영,9771013,51
변재일,9770356,42
이인영,9770878,59
이춘석,9770623,53
임이자,9771041,71
김성수,9771065,58
전현희,9770946,63
이해찬,9770879,22
민병두,9770761,66
추혜선,9771084,40
박선숙,9771073,59
장병완,9770688,68
우원식,9770872,54
권미혁,9771066,55
홍익표,9770864,70
송옥주,9771058,71
